patentnummer,klass,IPC,patenthavare_antal,patenthavare1,patenthavare1_adress,patenthavare1_stad,patenthavare1_land,patenthavare_typ,patenthavare_typ_av_skrivet,ombud,ombud_adress,patenttid_fr,patenttid_till,beviljandedatum,utgångsdatum,utgångsår,utgångsskäl,ansökingsnr,sistaerlagdapatentåravgifter_datum,sistaerlagdapatentåravgifter_belopp,sistaerlagdapatentåravgifter_text,sista_aviserat_datum,sista_aviserat_år,uppfinningensbenämning,uppfinningensbenämning_typ,uppfinnare_antal,uppfinnare1,uppfinnare2,prioritet,prioritetsdatum,prioritetsnummer,prioritetsland,patentöverföring,licensupplåtelse,tilläggspatent,ombudsbyte,uppfinnare3,ansökingsdatum,uppfinnare1_stad,överföringsdatum,tidigare_patenthavare,tidigare_patenthavare_address,tidigare_patenthavare_stad,tidigare_patenthavare_land,tidigare_ombud,ombudsbytesdatum,tilläggspatentnummer,patenthavare2,patenthavare2_adress,patenthavare2_stad,patenthavare2_land,patenthavare3,patenthavare3_stad,patenthavare3_land,uppfinnare4,uppfinnare1_adress,uppfinnare1_land,uppfinnare2_adress,uppfinnare2_stad,uppfinnare2_land,ansökningen_utlagd_den_patentkravsigifterna,potential_wrong_expiration_date
315021,21A4:75,H05K7/18,1,SAAB-SCANIA AB,"SAAB 42, Linköping",Linköping,Sverige,company,mixed,G. Johansson,Sverige,1964-08-07,1981-08-08,1970-01-08,1973-03-19,1973,Lack of payment of fees,9568/64,1971-07-30,250.00,30-JULI-71 6-9-28-2 315021+2.250.00,1972-12-14,1972.0,Anordning vid elektronikaggregat,typed,1,S.I.W Freijd,,FALSE,,,,FALSE,FALSE,FALSE,TRUE,,,,,,,,,G. Johansson,1971-06-21,,,,,,,,,,,,,,,,0
120022,,,1,Plasco Limited,Glasgow,Glasgow,Storbritannien,company,typed,Civilingenjör E.J. Delmar,Stockholm,1945-08-17,1962-08-18,1947-08-21,1955-03-26,1955,Lack of payment of fees,6218/1945,1953-06-23,100.00,,,,Sätt att framställa spännen genom pressgjutning.,typed,1,L.H. Morin,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
315035,21 c/67/10,H02 p.13/26,1,Allmanna Svenska Elektriska AB,,Vasteras,Sverige,company,typed,Öhman m.fl,Sverige,1967-12-21,1984-12-22,1970-01-08,1969-09-22,1969,Lack of payment of fees,17648/67,,,,,,"Strömriktarstation, omfattande ett antal strömriktare,som på likströmssidan är koppade i serie, medan de på växelströmssidan är anslutna till var sin växelströmsmaskin",typed,1,H Stackegård,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
190086,(not specified),(not specified),1,Armaturfabriken Trio Aktiebolag,"Hägersten, Sverige",Hägersten,Sverige,company,typed,Kransell,(not specified),1961-02-15,1978-02-16,1964-01-23,1972-08-19,1972,Lack of payment of fees,1553/1961,1971-02-11,400.00,"11-FEB-71, 9, 19 190086 2, 400.00",1972-04-18,1972.0,Anordning vid bidé,typed,1,O. Lundberg,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
120037,,,1,Ingenjören Erik Gunnar Vilhelm Atling,Ockelbo,Ockelbo,Sverige,individual,typed,,,1946-11-08,1963-11-09,1947-08-21,1957-05-29,1957,Lack of payment of fees,9788/1946,1955-11-08,200.00,150 + 50 + 2 + 200.00,1956-12-27,1956.0,Anordning vid nitmaskiner,mixed,1,Patenthavaren,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
315020,21.4.55,H04b7/14,2,Societa Italiana Telecommunicazioni,"Siemens SpA, Milano",Milano,Italien,company,typed,N. Larfeldt m. fl.,N/A,1965-08-03,1982-08-04,1970-01-08,1975-03-18,1975,Lack of payment of fees,101635,1971-04-28,200.00,N/A,1974-09-05,1974.0,"Elektronisk halvledaranordning, anordnad att genmföra omkopplings- och alarmoperationer i matningsreservförbindelser vid radiolänkar",typed,1,L. Sarati,,TRUE,1964-08-04,17024,Italien,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
361004,B 23 k 9/10, ,1,Kabel- und Metallwerke Gutehoffnungshütte AG,Hannover,Hannover,DT,company,typed,Tarfeldt m. fl.,,1970-01-08,1987-01-09,1974-01-24,1977-08-18,1977,Lack of payment of fees,167/70,1976-10-14,350.00,14 OKT 76 12156 *9761004* ***350.00,1977-03-29,1977.0,Förfarande för automatisk reglering vid likströms-ljusbågsvetsning,typed,2,W Klebl,H Schieber,TRUE,1969-01-09,19063,DT,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
348051,-,G01g13/34,1,Sivert Hög,Nässjö,Nässjö,Sverige,individual,typed,Ahlström,-,1969-11-24,1986-11-25,1972-11-30,1975-06-01,1975,Lack of payment of fees,1610469,1974-11-15,100.00,15 NOV 100.00:-,1974-12-11,1974.0,Anordning vid automatiska behållarevågar,mixed,1,Patenthavaren,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
300011,12.p1/10,C07d 33/52,1,Roussel-Uclaf S.A. Paris,"Paris,Frankrike",Paris,Frankrike,company,typed,Boman,,1967-03-30,1984-03-31,1968-07-11,1980-10-02,1980,Lack of payment of fees,4406/67,1979-02-19,900.00,19FEB.1979 13300011 *** 900.00 kr,1980-04-22,1980.0,Sätt att framställa substituerade kinoliner,typed,2,A. Allais,P. Girault,TRUE,1966-03-31,55879,Frankrike,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
359004,H 03 c 3/00,H03C 3/00,1,Sanders Associates,"Nashua, N.H.","Nashua, N.H.",US,company,typed,Hammar m.fl.,,1970-09-16,1987-09-17,1973-11-22,1978-04-12,1978,Lack of payment of fees,1262170,1977-09-15,300.00,15 SEP □ 13491 *7359004 *****300.00,1977-10-12,1977.0,Digital datamodulator,typed,3,"D. G. Shuda, Chelmsford, Mass.","G. R. Giles, Williamsville, N.Y.",TRUE,1969-09-17,858721,US,FALSE,FALSE,TRUE,FALSE,"K. R. MacDavid, Nabnasset, Mass.",,,,,,,,,,6359004,,,,,,,,,,,,,,,0
359038,B21d1/04,B21d 1/04,3,Hoer Voss Corporation,"Calleri, Penn.",Penn,US,company,mixed,Larfeldt m.fl.,,1969-02-17,1986-02-18,1973-11-29,1976-09-14,1976,Lack of payment of fees,2176/69,1974-01-14,300.00,7359038 300.00,1976-03-18,1976.0,Sätt att permanent förlänga metallband,typed,1,M G Kinnavy,,TRUE,1968-02-28,708947,US,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,Salem Corporation,"Carnegie, Penn.",Penn,US,Larfeldt m.fl.,,US,,,,,,,,0
315030,21a:22,H01r23/25,1,Roy Alfred Patton Jr,,Fort Wayne,USA,individual,typed,S. Molin,,1965-06-16,1982-06-17,1970-01-08,1972-01-17,1972,Lack of payment of fees,7999/65,1970-06-15,150.00,V6 15-JUN-70 43862-6 315030-2--150.00,1971-08-18,1971.0,Elektriskt kopplingsdon med en ändeld med mindre diameter och kopplingsaggregat med en i denna ändeld utformad handel respektive hondel.,typed,1,Patenthavaren,,TRUE,1964-06-17,375798,USA,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
349028,07 d 7/42, ,1,Boots Pure Drug Co.,Nottingham,Nottingham,Storbritannien,company,typed,Brann mf.l., ,1967-09-01,1984-09-02,1973-01-04,1980-04-21,1980,Lack of payment of fees,12168/67,1972-09-18,900.00,P 12 A 2 10203 113 9028 ***** 900.00,1979-10-17,1979.0,Förfarande för framställning av xanten- och tiaxantenderivat.,typed,4,S S Adams,B J Armitage,TRUE,1967-04-05,15692/67,Storbritannien,FALSE,FALSE,FALSE,FALSE,N W Bristow,,,,,,,,,,,,,,,,,,B V Heathcote,,,,,,,0
190097,,,1,Verkmästare Erik Wärn,"Tidebergsvägen 16, Tibro",Tibro,Sverige,individual,typed,,,1961-01-14,1978-01-15,1964-01-23,1966-02-20,1966,Lack of payment of fees,348/1961,1965-03-04,120.00,20663 ▫ 5 190097 + ▫ 2 * 120.00,1966-02-20,1966.0,Verktyg för limning av kantlister vid skivor och dylikt,typed,1,Patenthavaren,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
315019,21.4.48/43,G01S 5/10,1,Svenska AB Philips,,Stockholm,Sverige,company,typed,Åkesson,Sverige,1968-01-04,1985-01-05,1970-01-08,1978-08-11,1978,Expiration of patent time,99/68,1977-01-07,350.00,315019 ************************** 350.00,1976-02-04,1976.0,Anordning vid en i en flygfarkost anordnad mottagare för ett fasjämförande navigationssystem.,typed,1,G. Sundman,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
349014,C 01 B 2/10,C01B 2/10,1,Esso Research and Engineering Company,"Linden, N.J.",Linden,USA,company,typed,Delmar,USA,1969-06-17,1986-06-18,1973-01-04,1988-05-03,1988,Lack of payment of fees,6812/69,1986-03-25,1900.00,25.3.86 **1900.00,1987-07-14,1987.0,"Förfarande för omvandling av en gasblandning inne hållande kolmonoxid och vattenånga, varvid gasblandningen bringas i kontakt med en katalysator samt katalysatorkomposition för genomförande av förfarandet",typed,1,C. H. Aldridge,,TRUE,1968-06-14,"737850, 821452",USA,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
226000,,,1,Fuji Shashin Film Kabushiki Kaisha,"Ashigara-Kamigun, Japan",Ashigara-Kamigun,Japan,company,typed,Boman,,1965-12-17,1982-12-18,1968-05-22,1981-07-20,1981,Lack of payment of fees,16390/65,1970-11-19,150.00,13-DEC-68 3946 + 2 220.00;21-OCT-69 7395 + 2 220.00;19-NOV-70 9186 + 2 150.00,1981-03-06,1981.0,Elektrofotografiskt material,typed,2,S Honjo,T Iwai,TRUE,1964-12-19,"71536, 73006",Japan,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
120187,,,1,Förste.stationsskrivaren.Karl Emil Pettersson,Hallsbergs,Hallsberg,Sverige,individual,mixed,Onn,,1946-01-12,1963-01-13,1947-09-11,1962-08-25,1962,Lack of payment of fees,303/1946,1961-01-12,750.00,12•JAN.61✢2•750.00,1962-02-23,1962.0,Fisksax,typed,1,Förste.stationsskrivaren.Karl Emil Pettersson,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
361003,Int Cl B 23 k 9/10,B23K 9/10,1,Institut Elektrosvarki imeni E.O. Patona,"Institut Elektrosvarki imeni E.O. Patona, Kiev, SU",Kiev,SU,institution,typed,Delmar,Delmar,1969-03-12,1986-03-13,1974-01-24,1987-10-12,1987,Expiration of patent time,3445/69,1986-03-14,2700.00,860314 20419 218 361003 **2700.00,1987-04-07,1987.0,Pulsgenerator för svetsningsändamål,typed,5,B E Paton,V K Lebedev,TRUE,1968-06-14,"1,250,703",SU,FALSE,FALSE,FALSE,FALSE,P P Sheiko,,,,,,,,,,,,,,,,,,M P Pashulya,,,,,,,0
120024,,,1,Aktiebolaget Elektrolux,,Stockholm,Sverige,company,typed,Dahl,,1943-08-06,1960-08-07,1947-08-21,1960-03-26,1960,Lack of payment of fees,1113/1947,1957-07-30,450.00,,1959-10-05,1959.0,Anordning vid dammsamlingsbehållare för dammsugare,typed,1,A.A. Forsberg,,TRUE,1942-08-07,,Tyska Riket,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
361016,B 61 F 5/06,B 61 F 5/06,1,Schweizerische Lokomotiv- und Machinenfabrik,"Winterthur, CH",Winterthur,CH,company,typed,Hammar m.fl.,,1971-06-15,1988-06-16,1974-01-24,1980-01-10,1980,Lack of payment of fees,7757/71,1978-03-02,500.00,"2 MAR 78, 12026, 8361016, 500.00",1979-07-30,1979.0,Upphängingsanordning av fordonskorgen hos ett rälsfordon på en boggi,typed,1,"E.F. Kreissig, Seuzach",,TRUE,1970-06-17,9155,CH,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
300060,42.h.7,G 02 b 5/12,1,NY Philips' Gloeilampenfabrieken,,Eindhoven,Nederländerna,company,typed,Ernerot m.fl.,,1964-06-11,1981-06-12,1968-07-11,1972-01-07,1972,Lack of payment of fees,7154/64,1970-05-28,200.00,,1971-08-18,1971.0,"Anordning, vid vilken strålning passerar genom ett optiskt element medelst en mångfald reflektioner vid sinsemellan motstående begränsningsytor på elementet",typed,1,N J Harrick,,TRUE,1963-06-12,287239,USA,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
372024,D,D06N 3/02,1,Aerlund & Rausing AB,Lund SW,Lund,SE,company,typed,L Holmqvist,-,1971-09-14,1988-09-14,1976-10-14,1987-04-09,1987,Expiration of patent time,7111625,1983-07-14,1500.00,830714 20033 213 372824,1986-10-08,1986.0,Under inverkan av UV-och/eller solljus nedbrytbar polymerkcomposition innehallande en jarnforening,typed,1,Boberg A,,FALSE,,,,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,20091,,,,,,,,,,,,,,,0
330015,12o:25/05,C 07 c 167/08,1,E. Merck AG.,Darmstadt,Darmstadt,Förbundsrepubl. Tyskland DT,company,typed,Lindquist,,1963-07-23,1980-07-24,1971-02-11,1975-02-14,1975,Lack of payment of fees,3612/67,1974-07-10,400.00,10 ∘ 10 jul ○ ○ 14517 j1133015 *****400.00,1974-08-07,1974.0,"Sätt att framställa omättade 15-halogenmetylena-17(Ã?Æ?Ã'Â?-hydrox.)-3,20-diketonpregnan-derivat samt estrar och salter därav.",typed,4,F. von Werder,K. Brückner,TRUE,1962-07-24,M 53.674,Förbundsrepubliken Tyskland DT,FALSE,FALSE,FALSE,FALSE,K-H Boxk,,,,,,,,,,,,,,,,,,B. Metz,,,,,,,0
348019,,B02 F 3/82,1,Salzgitter Maschinen AG,Salzgitter-Bad.,Salzgitter,Förbundsrepubl.Tyskland DT,company,typed,Hjärne,,1971-03-30,1988-03-31,1972-11-30,1981-10-19,1981,Lack of payment of fees,4145/71,1980-01-09,400.00,31 JAN N 134021 ******400.00,1981-04-27,1981.0,Bromsanordning för kastskopa och vippa vid kastlastmaskiner.,typed,2,M. O. Rauert,E. Kessler,TRUE,1970-04-23,20 19 544,Förbundsrepubliken. Tyskland DT,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
160088,,,1,Western Electric Company,"New York, N.Y.",New York,A.f.s.,company,typed,Civilingenjören J. Delmar,Stockholm,1949-02-19,1966-02-20,1957-06-13,1966-02-20,1966,Expiration of patent time,1468/1949,1965-02-02,850.00,,,,Glimurladdningsanordning,typed,1,W.A. Depp,,TRUE,1948-03-27,,,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,0,,,,,,,,,,,,,,,0
300063,42m6.9/02,G069/02,1,Standard Radio. & Telefon AB,"Barkarby, Sverige",Barkarby,Sverige,company,typed,Bernhult,,1963-03-29,1980-03-30,1968-07-11,1972-10-20,1972,Lack of payment of fees,3432/63,1971-02-26,300.00,26-FEB-71 1.2.5.1.0. ~ 8 300063 + - 2 * ** 8 ** 2 300.00,1972-07-27,1972.0,Elektrisk strömkretsanordning,typed,2,K.W. Steinbuch,P. Müller,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
160049,,,2,Graviner Manufacturing Company Limited och The Wilkinson Sword Company Limited,,London,Storbritannien,company,typed,Civilingenjörerna S. Boman,Stockholm,1954-06-03,1971-06-04,1957-06-05,1964-02-21,1964,Lack of payment of fees,5231/1954,1962-05-07,300.00,,1963-07-05,1963.0,Finfördelnings- eller sprutmunstycke.,typed,1,A. Mathisen.,,FALSE,,,,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,160049,,,,,,,,,,,,,,,0
348036,,F16f 3/08,1,Contraves AG,,Zürich,Schweiz,company,typed,Ferkinghoff,,1968-03-18,1985-03-19,1972-11-30,1977-10-14,1977,Lack of payment of fees,3545/68,1973-02-27,400.00,29 JUN 1972 6348036 300.00,1977-04-26,1977.0,Torsionsfjädring,typed,2,"H Reich, Würenlos","H Angsti, Glattbrugg",TRUE,1967-03-22,,Schweiz,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
120246,,,1,Kockums Mekaniska Verkstads Aktiebolag,"Malmö, Sverige",Malmö,Sverige,company,typed,Kierkegaard,,1945-04-28,1962-04-29,1947-09-18,1961-11-25,1961,Lack of payment of fees,3471/1945,1959-02-13,750.00,13-FEB-59 0.9.0 120246 +- ? ★★ 750.00,1961-05-27,1961.0,Vibrator,typed,1,J.G.M. Brodén,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
315053,21 g 53/00,H 01 s 3/04,1,Hughes Aircraft Company,,Culver City,USA,company,typed,Delmar,,1966-02-28,1983-03-01,1970-03-05,1978-10-14,1978,Lack of payment of fees,2608/66,1977-12-27,150.00,27 DEZ ca 1636 10315053 ***** 150:00,1978-04-27,1978.0,Laser med temperaturkontrollanordning för det aktiva ämnet,mixed,2,L H Ott,R S Congleton,TRUE,1965-03-01,436221,USA,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
160065,,,1,Fabrikanten Josef Burgmer,Wuppertal-Barmen,Wuppertal-Barmen,Förbundsrepubliken Tyskland,individual,typed,Civilingenjören H. Onn,Stockholm,1952-04-23,1969-04-24,1957-06-13,1962-11-24,1962,Lack of payment of fees,3717/1952,1961-01-30,350.00,30-JAN-61                0  7  6 7 7 160065  +  2  ****  350.00,1962-05-23,1962.0,Ändlös genomskriftformulärsats,typed,1,Fabrikanten Josef Burgmer,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
120127,,,1,N.V. Philips Gloeilampenfabrieken,Eindhoven,Eindhoven,Nederländerna,company,typed,Ingenjören M. Kierkegaard,Stockholm,1941-11-12,1958-11-13,1947-09-04,1957-06-02,1957,Lack of payment of fees,6188/1941,1955-10-31,450.00,31-OKT.55 64760=15+2=450.00 120127 ***350:-S 14 OKT.1954 2 NOV.1953,1956-12-27,1956.0,Anordning med ett elektriskt urladdningsrör—jämte därför avsett urladdningsrör.,typed,2,E.G. Dordelo,H.J. Lemmens,TRUE,1940-11-01,,Nederländerna,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
348009,,C 23 7/10,1,Kawasaki Steel Corp.,Kobe City,Kobe City,Japan,company,typed,T.Wallin m.fl.,,1969-04-15,1986-04-16,1972-11-30,1987-11,1987,Expiration of patent time,05275/69,1984-02-20,1500.00,5th and 17th annuities,1987-05-13,1987.0,Sätt att på ytan av en elektrisk stålplåt skapa en isolerande korrosionsbeständig beläggning jämte medel för genomförande av sättet,typed,3,M Imai,H Shimanska,TRUE,1968-04-28,78036,Japan,FALSE,FALSE,FALSE,FALSE,T Irie,,,,,,,,,,,,,,,,,,,,,,,,,0
160073,,,1,Electric Furnace Products Company Limited,Toronto,,Canada,company,typed,Dr. L. Brann,Stockholm,1955-10-03,1972-10-04,1957-06-13,1972-10-04,1972,Expiration of patent time,8854/1955,1963-09-25,300.00,,,,Sätt att tillverka aducergods,typed,2,R. A. Aeberly,R. A. Clark,TRUE,1954-10-12,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
348021,,E04D 1/18,1,Sven Lindqvist,Varberg,Varberg,Sverige,individual,typed,Lundell Cederbom m.fl.,,1970-05-04,1987-05-05,1972-11-30,1981-12-15,1981,Lack of payment of fees,6125/70,1980-04-17,1000.00,823 17 APR 80 1348021 1000.00,1981-06-30,1981.0,Byggnadselement,typed,1,Patenthavaren,,FALSE,,,,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,1975-04-08,,,,,,,,,,,,,,,,0
315092,"37 b/1,10",E04C 1/10,2,Gisela Bock och Alois Karl Bock,,veckารถafningen,"Förbundsrepubl, Tyskland DT",individual,typed,"G. Emerot, m.fl.",,1966-04-21,1983-04-22,1970-01-08,1980-08-31,1980,Lack of payment of fees,5441/66,,,,,,Byggnadselement,typed,2,Patenthavarna,,TRUE,1965-04-22,B 81 563,Förbundsrepubl,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0
